word;quantity;frequency
tickies;1;0.001
bless;1;0.001
actually;1;0.001
squeeze;2;0.001
course;1;0.001
doo;1;0.001
pram;2;0.001
downstairs;1;0.001
all_gone;4;0.003
paddle;1;0.001
rosebud;1;0.001
baba;1;0.001
chocolate;1;0.001
Gerry;1;0.001
Jenny;6;0.004
Daddy;6;0.004
skin;1;0.001
Marmite;3;0.002
lorry;1;0.001
dress;2;0.001
Goldilocks;1;0.001
jug;1;0.001
dear;2;0.001
policeman;1;0.001
map;1;0.001
football;1;0.001
clothe;3;0.002
close;4;0.003
Ben;1;0.001
sucker;1;0.001
com;1;0.001
jelly;2;0.001
lounge;1;0.001
stock;1;0.001
fry;1;0.001
beat;4;0.003
naughty;2;0.001
Cape;1;0.001
kitten;2;0.001
cake;2;0.001
hat;2;0.001
nest;1;0.001
holiday;1;0.001
toe;3;0.002
walk;2;0.001
lie;2;0.001
warm;2;0.001
comb;2;0.001
six;1;0.001
Wednesday;1;0.001
lady;2;0.001
zoo;1;0.001
slipper;1;0.001
belt;1;0.001
draw;2;0.001
drive;1;0.001
tear;4;0.003
floor;1;0.001
wont;5;0.004
choose;1;0.001
rain;4;0.003
bring;2;0.001
pen;3;0.002
drop;3;0.002
storybook;1;0.001
cough;2;0.001
small;1;0.001
penny;2;0.001
morrow;1;0.001
keep;3;0.002
prune;2;0.001
medicine;1;0.001
tire;3;0.002
balloon;1;0.001
pussy;2;0.001
Mummy;4;0.003
post;2;0.001
chin;1;0.001
pretty;2;0.001
birdie;3;0.002
doggie;2;0.001
supper;2;0.001
string;1;0.001
wireless;1;0.001
cross;2;0.001
sticker;1;0.001
asleep;3;0.002
kid;1;0.001
pencil;1;0.001
bag;2;0.001
hole;1;0.001
Wendy;1;0.001
Lucky;4;0.003
lawn;1;0.001
Steven;1;0.001
Lockett;1;0.001
scruff;1;0.001
read;3;0.002
bunny;3;0.002
Kipper;1;0.001
pottie;1;0.001
mouth;1;0.001
sandwich;2;0.001
forward;2;0.001
Susie;1;0.001
lap;2;0.001
scarf;1;0.001
comfortable;2;0.001
think;2;0.001
cook;2;0.001
dive;1;0.001
spider;1;0.001
quack;2;0.001
across;1;0.001
snake;2;0.001
dad;4;0.003
now;1;0.001
outside;2;0.001
bright;1;0.001
wash;2;0.001
bib;1;0.001
Stockport;1;0.001
swim;1;0.001
Town;2;0.001
sick;2;0.001
stair;1;0.001
flat;1;0.001
Lisa;1;0.001
sweetie;2;0.001
pot;1;0.001
pinkie;1;0.001
pop;1;0.001
blow;4;0.003
lavatory;1;0.001
vest;1;0.001
upstairs;4;0.003
christmas;2;0.001
pajama;1;0.001
further;1;0.001
crispies;1;0.001
spill;1;0.001
spade;1;0.001
love;2;0.001
corner;1;0.001
purse;2;0.001
sandal;2;0.001
press;2;0.001
sleep;4;0.003
orange;2;0.001
biscui;1;0.001
guinea;1;0.001
bone;1;0.001
till;1;0.001
starling;2;0.001
brand;1;0.001
reindeer;1;0.001
ow;1;0.001
fee;2;0.001
letter;1;0.001
doggy;3;0.002
mantlepiece;1;0.001
moo;2;0.001
cover;4;0.003
grass;1;0.001
sparrow;1;0.001
beer;1;0.001
mummie;5;0.004
goat;1;0.001
bottom;2;0.001
yellow;2;0.001
tummy;2;0.001
fish;2;0.001
David;1;0.001
hard;1;0.001
past;1;0.001
Jaffa;1;0.001
pouffe;1;0.001
bit;1;0.001
Chandley;1;0.001
work;2;0.001
Susan;1;0.001
tomorrow;1;0.001
bicycle;1;0.001
pocket;1;0.001
nearly;1;0.001
fishie;1;0.001
Grandma;1;0.001
lose;4;0.003
pig;2;0.001
noise;1;0.001
elastic;1;0.001
hope;1;0.001
cold;3;0.002
burn;4;0.003
silly;2;0.001
quiet;1;0.001
tonight;1;0.001
coffee;1;0.001
own;1;0.001
apple;1;0.001
seat;1;0.001
dirty;4;0.003
butter;2;0.001
Grandad;1;0.001
s;1;0.001
bridge;1;0.001
four;1;0.001
rabbit;1;0.001
mountain;1;0.001
ambulance;1;0.001
curler;1;0.001
tuck;2;0.001
crocodile;1;0.001
umbrella;1;0.001
neck;1;0.001
gooseberry;2;0.001
dark;2;0.001
Margaret;1;0.001
fork;1;0.001
mug;1;0.001
crayon;1;0.001
mess;1;0.001
teddy;6;0.004
library;2;0.001
eggie;1;0.001
lemonade;1;0.001
giraffe;1;0.001
squirrel;1;0.001
John;1;0.001
crust;1;0.001
tick;1;0.001
Tim;1;0.001
clinic;1;0.001
picture;2;0.001
Tuppence;2;0.001
ducky;1;0.001
fringe;3;0.002
ribbon;2;0.001
robin;1;0.001
tart;3;0.002
school;1;0.001
a;1;0.001
book;1;0.001
newspaper;1;0.001
table;2;0.001
sunny;1;0.001
brush;1;0.001
wall;1;0.001
pink;2;0.001
goosie;2;0.001
carrot;1;0.001
bear;2;0.001
Sovereign;1;0.001
cheese;1;0.001
macaroni;2;0.001
ring;1;0.001
Mum;2;0.001
beautiful;1;0.001
London;1;0.001
pill;1;0.001
window;1;0.001
material;1;0.001
cuckoo;1;0.001
talk;2;0.001
minute;1;0.001
light;2;0.001
knife;1;0.001
nursery;2;0.001
Cynthia;2;0.001
bubble;1;0.001
dry;2;0.001
Barbara;2;0.001
moon;1;0.001
spoon;1;0.001
truck;1;0.001
alright;1;0.001
shoe;3;0.002
tight;1;0.001
undo;3;0.002
milk;1;0.001
pony;1;0.001
smack;1;0.001
Smarties;1;0.001
Sally;1;0.001
pavement;1;0.001
meringue;3;0.002
nose;2;0.001
dustbin;1;0.001
form;1;0.001
crisp;1;0.001
send;1;0.001
difficult;1;0.001
darling;1;0.001
meow;1;0.001
nail;1;0.001
purple;1;0.001
lollipop;1;0.001
badly;1;0.001
anything;1;0.001
doll;1;0.001
hospital;2;0.001
ache;1;0.001
tin;1;0.001
feather;1;0.001
toothbrush;1;0.001
kitchen;1;0.001
Lucy;1;0.001
part;1;0.001
boardie;1;0.001
ear;1;0.001
fancy;1;0.001
toast;3;0.002
gorilla;1;0.001
hide;1;0.001
boo;1;0.001
Smartie;1;0.001
thumb;1;0.001
dirt;1;0.001
Charlie;1;0.001
mind;3;0.002
banana;2;0.001
tickle;2;0.001
nanny;2;0.001
piggie;2;0.001
bike;2;0.001
Sandy;1;0.001
round;3;0.002
Maria;2;0.001
stay;3;0.002
marmalade;2;0.001
pin;1;0.001
dolly;2;0.001
pack;1;0.001
Lulu;6;0.004
tights;1;0.001
salt;1;0.001
lolly;1;0.001
gown;1;0.001
domino;1;0.001
paper;1;0.001
rhubarb;2;0.001
Lynn;1;0.001
funny;3;0.002
feel;2;0.001
downs_a_daisy;1;0.001
onion;1;0.001
take;2;0.001
disgust;1;0.001
skip;4;0.003
fast;3;0.002
scratchy;1;0.001
none;1;0.001
touch;2;0.001
ladder;1;0.001
climb;1;0.001
break;2;0.001
bread;2;0.001
tomato;1;0.001
carry;1;0.001
fit;3;0.002
longer;1;0.001
mouse;1;0.001
Cambridge;2;0.001
lion;1;0.001
plate;1;0.001
rag;1;0.001
Timothy;1;0.001
pull;1;0.001
learn;1;0.001
flower;1;0.001
jam;2;0.001
shirt;1;0.001
peg;1;0.001
uk;2;0.001
Lego;2;0.001
scream;1;0.001
switch;1;0.001
polar;1;0.001
kiss;3;0.002
tricycle;1;0.001
oo;1;0.001
Mac;1;0.001
Jane;2;0.001
puppy;1;0.001
slide;2;0.001
pip;1;0.001
morning;1;0.001
anybody;1;0.001
engine;1;0.001
wine;2;0.001
egg;1;0.001
pudding;3;0.002
shy;1;0.001
reach;1;0.001
calf;1;0.001
cotton;1;0.001
gate;1;0.001
yesterday;1;0.001
fight;1;0.001
Jack;1;0.001
ankle;1;0.001
thank_you;1;0.001
band;1;0.001
wipe;2;0.001
monkey;1;0.001
tractor;1;0.001
kick;1;0.001
bacon;1;0.001
happy;2;0.001
dingaling;1;0.001
teacher;1;0.001
Suki;2;0.001
afternoon;1;0.001
ballie;1;0.001
ice;1;0.001
tidy;1;0.001
cage;1;0.001
tie;2;0.001
tasty;2;0.001
plaster;1;0.001
teaspoon;1;0.001
cat;1;0.001
tunnel;1;0.001
Ribena;1;0.001
suitcase;1;0.001
out_of;3;0.002
swan;1;0.001
card;1;0.001
future;1;0.001
Manchester;1;0.001
wasp;1;0.001
teach;1;0.001
behind;2;0.001
panty;1;0.001
tail;1;0.001
pear;1;0.001
bum;1;0.001
snow;1;0.001
grape;1;0.001
potato;1;0.001
sky;1;0.001
gander;1;0.001
closer;1;0.001
chug;1;0.001
got_to;3;0.002
represent;1;0.001
ups_a_daisy;2;0.001
cry;3;0.002
hurt;1;0.001
cigarette;1;0.001
handkerchief;1;0.001
sleepy;2;0.001
gum;1;0.001
birthday;2;0.001
Beryl;1;0.001
poof;1;0.001
road;1;0.001
kite;1;0.001
wake;2;0.001
change;1;0.001
Africa;1;0.001
bow;1;0.001
cushion;1;0.001
pinch;1;0.001
oil;1;0.001
cuddle;1;0.001
cow;1;0.001
cot;1;0.001
hiccough;1;0.001
buckle;1;0.001
probably;1;0.001
stool;1;0.001
wee;1;0.001
Sunday;1;0.001
seagull;1;0.001
Easter;1;0.001
train;1;0.001
garden;1;0.001
parcel;1;0.001
sneeze;1;0.001
careful;1;0.001
sugar;1;0.001
mend;2;0.001
pastry;1;0.001
tv;1;0.001
bus;1;0.001
shop;2;0.001
pillow;1;0.001
Michael;1;0.001
pepper;1;0.001
rockery;2;0.001
goodbye;1;0.001
leg;1;0.001
precious;1;0.001
lamb;1;0.001
forehead;1;0.001
front;1;0.001
bottle;1;0.001
thunder;1;0.001
dinner;1;0.001
page;1;0.001
every;1;0.001
finish;4;0.003
week;1;0.001
upset;1;0.001
iron;1;0.001
forget;2;0.001
flag;1;0.001
Minor;1;0.001
Jimbo;1;0.001
Andrew;1;0.001
tea;2;0.001
bare;1;0.001
sausage;1;0.001
Daddys;1;0.001
upside;1;0.001
Phil;1;0.001
